,Player,Time,dateSet,time,monthSet
0,Niftski,4m 55s 430ms,2020-11-13,295.43,2020-11-01
1,Kosmic,4m 55s 646ms,2020-01-17,295.646,2020-01-01
2,tavenwebb2002,4m 55s 746ms,2019-08-02,295.746,2019-08-01
3,eddiecatgaming,4m 55s 763ms,2020-09-21,295.763,2020-09-01
4,somewes,4m 55s 796ms,2018-10-22,295.796,2018-10-01
5,Tree_05,4m 55s 879ms,2020-09-13,295.879,2020-09-01
6,LeonToast,4m 55s 929ms,2020-05-03,295.929,2020-05-01
7,Miniland,4m 55s 929ms,2020-11-28,295.929,2020-11-01
8,GTAce99,4m 56s 062ms,2020-10-28,296.062,2020-10-01
9,Nolmy,4m 56s 146ms,2020-09-11,296.146,2020-09-01
10,DJ___AJ,4m 56s 162ms,2020-10-26,296.162,2020-10-01
11,Lul_ecks_dee,4m 56s 245ms,2020-05-06,296.245,2020-05-01
12,RoyLT,4m 56s 279ms,2019-01-12,296.279,2019-01-01
13,Thelxinoe,4m 56s 495ms,2020-04-01,296.495,2020-04-01
14,scalpel,4m 56s 512ms,2020-11-14,296.512,2020-11-01
15,darbian,4m 56s 528ms,2017-10-20,296.528,2017-10-01
16,AndrewG,4m 56s 695ms,2019-01-11,296.695,2019-01-01
17,JeremyMKW,4m 56s 778ms,2020-11-26,296.778,2020-11-01
18,iBall1,4m 56s 844ms,2020-07-12,296.844,2020-07-01
19,jtknott,4m 56s 861ms,2019-10-12,296.861,2019-10-01
20,LeKukie,4m 56s 878ms,2020-10-17,296.878,2020-10-01
21,SmiithTV,4m 56s 894ms,2020-12-11,296.894,2020-12-01
22,Tecate,4m 56s 911ms,2018-11-14,296.911,2018-11-01
23,jscarbo99,4m 56s 944ms,2020-07-15,296.944,2020-07-01
24,Spiker,4m 56s 944ms,2020-11-11,296.944,2020-11-01
25,youtubeman06,4m 56s 961ms,2019-01-04,296.961,2019-01-01
26,Scrimsion,4m 56s 961ms,2020-03-03,296.961,2020-03-01
27,mav6771,4m 56s 961ms,2020-10-22,296.961,2020-10-01
28,StuckInAPlate,4m 56s 978ms,2017-07-31,296.978,2017-07-01
29,Alvaca,4m 56s 978ms,2020-10-11,296.978,2020-10-01
30,AdamFerrari64,4m 57s 194ms,2020-12-12,297.194,2020-12-01
31,KingOf_JonnyBoy,4m 57s 277ms,2019-04-23,297.277,2019-04-01
32,minertyler100,4m 57s 277ms,2020-04-24,297.277,2020-04-01
33,sweatypiranha,4m 57s 317ms,2020-06-26,297.317,2020-06-01
34,Brandon_Lepetrie42,4m 57s 344ms,2020-11-20,297.344,2020-11-01
35,threecreepio,4m 57s 377ms,2020-09-30,297.377,2020-09-01
36,goofychocobo,4m 57s 443ms,2019-01-18,297.443,2019-01-01
37,SoloQ,4m 57s 593ms,2017-10-23,297.593,2017-10-01
38,darG,4m 57s 627ms,2018-12-27,297.627,2018-12-01
39,Kriller37,4m 57s 627ms,2020-06-09,297.627,2020-06-01
40,Nebula_Composer,4m 57s 627ms,2020-06-25,297.627,2020-06-01
41,CaptainSpeedruns,4m 57s 643ms,2019-06-07,297.643,2019-06-01
42,HitzCritz,4m 57s 643ms,2020-01-27,297.643,2020-01-01
43,Flynntendo,4m 57s 643ms,2020-12-06,297.643,2020-12-01
44,ImDangerous20,4m 57s 660ms,2019-04-22,297.66,2019-04-01
45,Avid_Ames,4m 57s 676ms,2017-06-10,297.676,2017-06-01
46,MrTim131,4m 57s 676ms,2018-11-16,297.676,2018-11-01
47,Saradoc,4m 57s 693ms,2014-06-25,297.693,2014-06-01
48,AD2,4m 57s 710ms,2017-05-07,297.71,2017-05-01
49,TheCrit,4m 57s 726ms,2020-04-24,297.726,2020-04-01
50,Glitchman24,4m 57s 743ms,2020-01-02,297.743,2020-01-01
51,smythe,4m 57s 743ms,2020-12-03,297.743,2020-12-01
52,Sten,4m 57s 776ms,2017-05-05,297.776,2017-05-01
53,pacoistaco459,4m 57s 793ms,2019-07-17,297.793,2019-07-01
54,TheHaxor,4m 57s 793ms,2020-11-27,297.793,2020-11-01
55,LiQuify,4m 57s 810ms,2020-08-12,297.81,2020-08-01
56,COOLKID,4m 57s 843ms,2018-08-29,297.843,2018-08-01
57,bissmark,4m 57s 843ms,2019-10-27,297.843,2019-10-01
58,xeroxfiend,4m 57s 893ms,2019-01-18,297.893,2019-01-01
59,DaniëlHarteveld,4m 57s 893ms,2020-02-24,297.893,2020-02-01
60,rcd333,4m 57s 926ms,2018-01-16,297.926,2018-01-01
61,nostaljake,4m 57s 926ms,2019-05-28,297.926,2019-05-01
62,winbag4,4m 57s 926ms,2020-03-11,297.926,2020-03-01
63,MaestroBrau,4m 57s 976ms,2017-05-28,297.976,2017-05-01
64,SuperSonic,4m 57s 976ms,2018-05-18,297.976,2018-05-01
65,lucandor158,4m 57s 976ms,2019-10-27,297.976,2019-10-01
66,Validusername16,4m 57s 976ms,2020-10-28,297.976,2020-10-01
67,EthanRTA,4m 57s 993ms,2018-03-19,297.993,2018-03-01
68,gunlap,4m 57s 993ms,2018-11-01,297.993,2018-11-01
69,SteeleDude42,4m 58s 000ms,2020-07-08,298.0,2020-07-01
70,Akrua,4m 58s 009ms,2020-04-03,298.009,2020-04-01
71,NathanAlmighty,4m 58s 026ms,2020-07-23,298.026,2020-07-01
72,GreenDeathFlavor,4m 58s 059ms,2018-03-24,298.059,2018-03-01
73,Summoningsalt,4m 58s 076ms,2018-06-12,298.076,2018-06-01
74,sad_david,4m 58s 076ms,2018-08-10,298.076,2018-08-01
75,tjk,4m 58s 076ms,2019-08-14,298.076,2019-08-01
76,Johnny__Mandarino,4m 58s 092ms,2020-12-03,298.092,2020-12-01
77,Bildozer23,4m 58s 109ms,2018-09-05,298.109,2018-09-01
78,zsjetu9,4m 58s 159ms,2019-01-22,298.159,2019-01-01
79,periwinkle,4m 58s 292ms,2020-11-27,298.292,2020-11-01
80,Arcus,4m 58s 342ms,2017-07-27,298.342,2017-07-01
81,player123,4m 58s 359ms,2020-11-05,298.359,2020-11-01
82,Sawyer0622,4m 58s 375ms,2020-11-13,298.375,2020-11-01
83,Bazippo,4m 58s 392ms,2020-04-06,298.392,2020-04-01
84,hidaryP,4m 58s 409ms,2018-03-30,298.409,2018-03-01
85,doctor_mustache,4m 58s 409ms,2020-03-25,298.409,2020-03-01
86,KoRLKiller,4m 58s 409ms,2020-07-01,298.409,2020-07-01
87,Carter44,4m 58s 458ms,2019-08-08,298.458,2019-08-01
88,samm_1703,4m 58s 492ms,2020-11-24,298.492,2020-11-01
89,Xein64,4m 58s 508ms,2018-02-18,298.508,2018-02-01
90,caleb2112,4m 58s 508ms,2020-03-26,298.508,2020-03-01
91,Pladask,4m 58s 508ms,2020-07-18,298.508,2020-07-01
92,Flamedemon612,4m 58s 508ms,2020-11-29,298.508,2020-11-01
93,lackattack24,4m 58s 525ms,2017-06-07,298.525,2017-06-01
94,PMniac,4m 58s 525ms,2019-03-03,298.525,2019-03-01
95,DaDonch44,4m 58s 575ms,2020-11-04,298.575,2020-11-01
96,shar,4m 58s 608ms,2020-02-12,298.608,2020-02-01
97,Losalexanderos421,4m 58s 625ms,2020-02-17,298.625,2020-02-01
98,Mars02,4m 58s 658ms,2020-04-20,298.658,2020-04-01
99,Joshua69yt,4m 58s 691ms,2020-11-29,298.691,2020-11-01
100,mPap,4m 58s 708ms,2018-04-03,298.708,2018-04-01
101,Phideee,4m 58s 708ms,2020-08-08,298.708,2020-08-01
102,Philhcks,4m 58s 741ms,2019-05-30,298.741,2019-05-01
103,Morbster,4m 58s 758ms,2019-12-12,298.758,2019-12-01
104,Skippypenutbudder,4m 58s 758ms,2020-03-28,298.758,2020-03-01
105,mammaru339,4m 58s 775ms,2020-01-13,298.775,2020-01-01
106,moistgoolash,4m 58s 791ms,2017-06-03,298.791,2017-06-01
107,Equanimity,4m 58s 825ms,2017-10-30,298.825,2017-10-01
