Player,Time
Niftski,4m 55s 430ms
Kosmic,4m 55s 646ms
tavenwebb2002,4m 55s 746ms
eddiecatgaming,4m 55s 763ms
somewes,4m 55s 796ms
Tree_05,4m 55s 879ms
LeonToast,4m 55s 929ms
Miniland,4m 55s 929ms
GTAce99,4m 56s 062ms
Nolmy,4m 56s 146ms
DJ___AJ,4m 56s 162ms
Lul_ecks_dee,4m 56s 245ms
RoyLT,4m 56s 279ms
Thelxinoe,4m 56s 495ms
scalpel,4m 56s 512ms
darbian,4m 56s 528ms
AndrewG,4m 56s 695ms
JeremyMKW,4m 56s 778ms
iBall1,4m 56s 844ms
jtknott,4m 56s 861ms
LeKukie,4m 56s 878ms
SmiithTV,4m 56s 894ms
Tecate,4m 56s 911ms
jscarbo99,4m 56s 944ms
Spiker,4m 56s 944ms
youtubeman06,4m 56s 961ms
Scrimsion,4m 56s 961ms
mav6771,4m 56s 961ms
StuckInAPlate,4m 56s 978ms
Alvaca,4m 56s 978ms
AdamFerrari64,4m 57s 194ms
KingOf_JonnyBoy,4m 57s 277ms
minertyler100,4m 57s 277ms
sweatypiranha,4m 57s 317ms
Brandon_Lepetrie42,4m 57s 344ms
threecreepio,4m 57s 377ms
goofychocobo,4m 57s 443ms
SoloQ,4m 57s 593ms
darG,4m 57s 627ms
Kriller37,4m 57s 627ms
Nebula_Composer,4m 57s 627ms
CaptainSpeedruns,4m 57s 643ms
HitzCritz,4m 57s 643ms
Flynntendo,4m 57s 643ms
ImDangerous20,4m 57s 660ms
Avid_Ames,4m 57s 676ms
MrTim131,4m 57s 676ms
Saradoc,4m 57s 693ms
AD2,4m 57s 710ms
TheCrit,4m 57s 726ms
Glitchman24,4m 57s 743ms
smythe,4m 57s 743ms
Sten,4m 57s 776ms
pacoistaco459,4m 57s 793ms
TheHaxor,4m 57s 793ms
LiQuify,4m 57s 810ms
COOLKID,4m 57s 843ms
bissmark,4m 57s 843ms
xeroxfiend,4m 57s 893ms
DaniëlHarteveld,4m 57s 893ms
rcd333,4m 57s 926ms
nostaljake,4m 57s 926ms
winbag4,4m 57s 926ms
MaestroBrau,4m 57s 976ms
SuperSonic,4m 57s 976ms
lucandor158,4m 57s 976ms
Validusername16,4m 57s 976ms
EthanRTA,4m 57s 993ms
gunlap,4m 57s 993ms
SteeleDude42,4m 58s 000ms
Akrua,4m 58s 009ms
NathanAlmighty,4m 58s 026ms
GreenDeathFlavor,4m 58s 059ms
Summoningsalt,4m 58s 076ms
sad_david,4m 58s 076ms
tjk,4m 58s 076ms
Johnny__Mandarino,4m 58s 092ms
Bildozer23,4m 58s 109ms
zsjetu9,4m 58s 159ms
periwinkle,4m 58s 292ms
Arcus,4m 58s 342ms
player123,4m 58s 359ms
Sawyer0622,4m 58s 375ms
Bazippo,4m 58s 392ms
hidaryP,4m 58s 409ms
doctor_mustache,4m 58s 409ms
KoRLKiller,4m 58s 409ms
Carter44,4m 58s 458ms
samm_1703,4m 58s 492ms
Xein64,4m 58s 508ms
caleb2112,4m 58s 508ms
Pladask,4m 58s 508ms
Flamedemon612,4m 58s 508ms
lackattack24,4m 58s 525ms
PMniac,4m 58s 525ms
DaDonch44,4m 58s 575ms
shar,4m 58s 608ms
Losalexanderos421,4m 58s 625ms
Mars02,4m 58s 658ms
Joshua69yt,4m 58s 691ms
mPap,4m 58s 708ms
Phideee,4m 58s 708ms
Philhcks,4m 58s 741ms
Morbster,4m 58s 758ms
Skippypenutbudder,4m 58s 758ms
mammaru339,4m 58s 775ms
moistgoolash,4m 58s 791ms
Equanimity,4m 58s 825ms
Eigensystem,4m 58s 841ms
Pouilli,4m 58s 858ms
ohon,4m 58s 891ms
sadler,4m 58s 891ms
SomeBro,4m 58s 891ms
robjbeasley,4m 58s 891ms
Demo,4m 58s 924ms
burgerlands2,4m 58s 941ms
OutOfLock,4m 58s 958ms
Darpey,4m 58s 991ms
